pc1,pc2,species
2.661333,-0.028920,setosa
2.579176,0.463425,setosa
2.594038,0.258271,setosa
2.814868,-0.506415,setosa
3.049958,-0.655026,setosa
2.772347,0.096737,setosa
2.749483,0.343076,setosa
2.758909,0.216337,setosa
2.671109,0.095218,setosa
2.466254,0.372530,setosa
2.681106,0.563604,setosa
2.782054,0.308527,setosa
2.660948,0.514953,setosa
2.789283,-0.084231,setosa
2.729486,-0.335916,setosa
3.216248,-0.396511,setosa
2.472458,0.611261,setosa
2.468162,0.786798,setosa
2.998612,-0.325748,setosa
2.745159,0.364726,setosa
2.854026,0.267432,setosa
2.529483,0.472209,setosa
2.550238,0.485659,setosa
2.863099,-0.142731,setosa
2.511264,0.183121,setosa
2.641064,0.275305,setosa
2.344199,0.115166,setosa
2.773925,0.375548,setosa
2.735487,0.079707,setosa
3.191016,-0.481059,setosa
2.632712,0.414653,setosa
2.770791,0.014810,setosa
2.647057,1.011239,setosa
3.049533,-0.275334,setosa
2.754413,-0.111419,setosa
2.747113,-0.002614,setosa
2.540589,0.527904,setosa
2.526331,-0.050893,setosa
2.499876,1.110331,setosa
2.793718,0.136423,setosa
2.535975,0.454694,setosa
2.656494,0.550485,setosa
2.633867,0.110409,setosa
2.579353,0.460065,setosa
2.943300,-0.461926,setosa
2.903146,-0.207197,setosa
2.958403,-0.659291,setosa
2.641713,0.077249,setosa
2.559522,0.609583,setosa
2.682470,0.147376,setosa
3.130269,-0.554503,setosa
2.534140,0.680308,setosa
2.845136,-0.097080,setosa
2.585536,0.552893,setosa
2.831933,-0.280741,setosa
2.384513,0.692673,setosa
2.991316,-0.151159,setosa
3.052168,-0.159199,setosa
2.537243,-0.043448,setosa
2.616422,-0.096749,setosa
2.241309,0.321413,setosa
2.674620,0.276488,setosa
3.139328,0.111281,setosa
2.481570,-0.045598,setosa
2.811446,0.086146,setosa
2.866056,-0.311976,setosa
2.737519,0.094560,setosa
2.722445,0.376393,setosa
2.809213,-0.188015,setosa
2.839088,0.215949,setosa
2.618207,0.150352,setosa
2.336593,0.446258,setosa
2.598757,0.770512,setosa
2.577396,0.553816,setosa
2.646958,0.416484,setosa
2.544578,0.287269,setosa
2.823433,0.095344,setosa
2.711439,1.012504,setosa
2.753534,0.306684,setosa
2.396499,1.025345,setosa
2.552009,0.315556,setosa
2.834518,-0.235997,setosa
2.605930,1.218820,setosa
3.012810,-0.464819,setosa
2.926324,-0.642180,setosa
2.563147,0.103739,setosa
3.055723,-0.502816,setosa
2.684142,1.019753,setosa
2.478738,0.590936,setosa
2.419943,-0.121554,setosa
2.954339,-0.175371,setosa
2.528799,0.564106,setosa
2.572484,0.606066,setosa
3.149197,-0.035746,setosa
2.808070,0.248988,setosa
2.740447,-0.095343,setosa
2.531135,0.131214,setosa
2.683340,0.580862,setosa
2.312966,0.163924,setosa
2.792295,-0.309301,setosa
2.786865,0.029089,setosa
2.720095,-0.061772,setosa
2.611669,0.382893,setosa
2.726724,-0.297811,setosa
3.222703,-0.837869,setosa
2.720552,0.822419,setosa
2.547690,0.382489,setosa
2.690453,0.136828,setosa
2.708616,-0.213339,setosa
2.225167,0.991849,setosa
2.503621,0.683394,setosa
2.717639,0.028602,setosa
2.793608,0.199065,setosa
2.716083,0.333868,setosa
2.573929,0.430011,setosa
2.707553,0.222612,setosa
3.004410,-0.394890,setosa
2.885494,-0.208079,setosa
3.161549,-0.480010,setosa
2.832574,0.003250,setosa
2.620593,0.674085,setosa
2.671662,0.510328,setosa
2.745773,0.501718,setosa
2.206046,0.472975,setosa
2.783221,0.244947,setosa
2.728478,0.283371,setosa
2.433979,0.536458,setosa
2.471379,0.643622,setosa
2.857564,0.192829,setosa
2.651931,0.499750,setosa
3.286415,-0.514807,setosa
2.720403,-0.235927,setosa
2.811972,0.544409,setosa
3.069300,-0.777127,setosa
2.807873,-0.137538,setosa
2.728227,0.370344,setosa
2.334589,1.111748,setosa
2.908831,-0.261830,setosa
3.039315,-0.248804,setosa
2.702738,0.502927,setosa
2.851709,-0.053810,setosa
2.686088,-0.041007,setosa
2.592149,0.877987,setosa
2.648012,-0.389413,setosa
3.392426,-0.669614,setosa
2.190578,0.736609,setosa
2.525545,0.635328,setosa
2.724696,0.509947,setosa
2.670193,-0.023342,setosa
2.582384,0.224858,setosa
2.362655,0.654054,setosa
3.159439,-0.507515,setosa
2.556788,0.834907,setosa
3.177273,-0.380398,setosa
2.652758,0.169927,setosa
2.977006,0.110327,setosa
2.864285,-0.075213,setosa
2.950391,-0.412588,setosa
2.522402,0.325259,setosa
2.674102,0.673290,setosa
2.668324,-0.368506,setosa
2.605359,0.157012,setosa
2.571466,0.147590,setosa
2.480734,0.250580,setosa
2.933580,0.110113,setosa
2.667698,-0.292216,setosa
2.979667,0.165657,setosa
2.757784,-0.131365,setosa
2.473761,0.506481,setosa
2.635274,-0.155252,setosa
2.451441,1.001056,setosa
2.352044,0.759434,setosa
2.540964,0.946374,setosa
2.826707,0.044466,setosa
2.603440,0.643341,setosa
2.530095,1.230732,setosa
2.664463,0.600271,setosa
2.569158,0.650148,setosa
3.122039,-0.648009,setosa
2.576426,0.505883,setosa
2.547347,-0.088799,setosa
2.316526,0.432264,setosa
3.203054,-0.236667,setosa
2.669263,0.480190,setosa
3.182833,-0.037590,setosa
2.675617,0.489072,setosa
2.834739,-0.120146,setosa
2.355135,0.205890,setosa
2.897221,-0.191710,setosa
2.691930,0.670812,setosa
2.531901,0.163823,setosa
2.628283,0.004945,setosa
2.709484,-0.230857,setosa
2.667731,-0.046886,setosa
2.877933,0.950042,setosa
3.078794,-0.406409,setosa
3.123806,-0.660414,setosa
2.790147,0.106931,setosa
2.774065,-0.277203,setosa
2.184098,0.417351,setosa
3.107278,-0.490133,setosa
2.540584,0.431638,setosa
2.676195,0.651159,setosa
2.574500,0.409547,setosa
3.127429,-0.444736,setosa
2.477347,0.165085,setosa
2.859182,0.366179,setosa
2.829246,0.319823,setosa
2.517312,0.463208,setosa
2.629486,-0.021986,setosa
2.575438,0.085717,setosa
2.450227,0.240367,setosa
2.728900,0.545802,setosa
2.768481,0.212422,setosa
2.417755,0.561876,setosa
2.469976,0.056505,setosa
2.650325,-0.084948,setosa
2.704716,0.862872,setosa
2.805547,0.667274,setosa
2.630097,0.806047,setosa
2.794318,-0.456498,setosa
2.788611,-0.195787,setosa
2.779392,0.365925,setosa
2.535015,0.504216,setosa
2.589027,0.198127,setosa
2.859049,0.068227,setosa
2.607396,0.673067,setosa
2.647160,0.175780,setosa
2.539342,1.092458,setosa
2.546220,0.351681,setosa
2.624567,-0.067975,setosa
2.811175,-0.393305,setosa
2.390109,0.251495,setosa
2.565431,-0.128144,setosa
2.444244,0.533188,setosa
2.824513,0.001146,setosa
2.320104,-0.055595,setosa
2.695917,0.382044,setosa
2.871014,0.301065,setosa
2.582548,-0.087800,setosa
2.712253,0.486203,setosa
2.531200,-0.193939,setosa
2.431175,1.019086,setosa
2.648868,-0.249548,setosa
2.610900,0.625534,setosa
2.561097,0.037277,setosa
2.923903,-0.253520,setosa
2.935989,-0.131927,setosa
2.556043,0.773634,setosa
2.766824,0.290591,setosa
2.632276,0.538003,setosa
2.735971,0.097259,setosa
2.667935,0.181067,setosa
2.575850,0.923206,setosa
2.732072,0.237255,setosa
2.757744,0.697591,setosa
2.751596,0.161901,setosa
2.807371,0.247155,setosa
2.894880,-0.421666,setosa
2.809937,-0.293055,setosa
2.483467,0.735923,setosa
2.710997,0.568083,setosa
2.252157,1.030349,setosa
2.720450,-0.258736,setosa
2.758924,-0.185123,setosa
2.763452,-0.235634,setosa
2.757666,0.140833,setosa
2.561882,0.039247,setosa
2.754204,0.354520,setosa
2.512722,1.230104,setosa
2.805574,0.221249,setosa
2.567285,0.372429,setosa
2.231732,0.777992,setosa
2.341692,0.234048,setosa
2.530124,0.286668,setosa
3.041445,-0.475511,setosa
2.482354,0.533809,setosa
2.556024,0.899349,setosa
2.666841,0.127703,setosa
2.730608,0.315542,setosa
3.066771,-0.423751,setosa
2.563760,0.559289,setosa
2.732492,0.372065,setosa
2.805254,0.249817,setosa
2.736331,-0.328886,setosa
3.274310,-0.302790,setosa
2.872792,-0.065765,setosa
2.724291,0.007008,setosa
2.440959,0.115096,setosa
2.648053,0.774793,setosa
2.445573,0.496101,setosa
2.766770,0.925827,setosa
2.661299,-0.342884,setosa
2.942723,-0.124001,setosa
2.757600,-0.226245,setosa
2.583093,0.631942,setosa
2.801982,-0.179601,setosa
2.591099,0.607532,setosa
2.597953,0.586460,setosa
2.869651,-0.150287,setosa
2.613935,0.132730,setosa
-1.255175,0.625354,versicolor
-0.892571,0.283145,versicolor
-1.417542,0.454206,versicolor
-0.168757,-0.888176,versicolor
-1.040815,0.026058,versicolor
-0.616272,-0.476972,versicolor
-1.083027,0.180681,versicolor
0.790240,-1.065522,versicolor
-1.033590,0.165454,versicolor
0.033376,-0.796551,versicolor
0.523486,-1.310286,versicolor
-0.460440,-0.186887,versicolor
-0.206846,-0.592014,versicolor
-0.903667,-0.157455,versicolor
0.207738,-0.308096,versicolor
-0.878242,0.488969,versicolor
-0.636517,-0.443421,versicolor
-0.223045,-0.383326,versicolor
-0.896589,-0.545912,versicolor
0.015912,-0.601464,versicolor
-1.083010,-0.205885,versicolor
-0.295045,-0.075595,versicolor
-1.230263,-0.326151,versicolor
-0.882279,-0.258376,versicolor
-0.642479,0.146183,versicolor
-0.892683,0.264324,versicolor
-1.312994,0.233601,versicolor
-1.525123,0.233466,versicolor
-0.765759,-0.185966,versicolor
0.330079,-0.388440,versicolor
0.074847,-0.749620,versicolor
0.247827,-0.699531,versicolor
-0.114267,-0.372068,versicolor
-1.363534,-0.463748,versicolor
-0.566023,-0.571444,versicolor
-0.750247,0.118732,versicolor
-1.187074,0.373307,versicolor
-0.772910,-0.324754,versicolor
-0.208401,-0.386556,versicolor
-0.114403,-0.684823,versicolor
-0.467395,-0.742042,versicolor
-0.864918,-0.082712,versicolor
-0.214516,-0.451460,versicolor
0.750920,-1.042376,versicolor
-0.331616,-0.559525,versicolor
-0.289731,-0.301459,versicolor
-0.335278,-0.395277,versicolor
-0.606627,-0.002741,versicolor
0.961428,-0.816666,versicolor
-0.279786,-0.422221,versicolor
-0.524784,-0.273111,versicolor
0.101717,-0.666444,versicolor
-0.447685,-0.674384,versicolor
-0.213455,-0.307125,versicolor
-1.081816,0.510777,versicolor
-0.703274,0.419022,versicolor
-0.612432,-0.082821,versicolor
-0.254298,-0.888165,versicolor
-1.211484,-0.396208,versicolor
-1.036517,0.049536,versicolor
-0.016161,-0.537005,versicolor
-1.322651,0.545174,versicolor
-0.127850,-0.195996,versicolor
-1.062231,0.465100,versicolor
-0.050109,-0.311213,versicolor
-0.634010,0.407242,versicolor
-0.444530,-0.567858,versicolor
-1.099036,0.279516,versicolor
-0.553753,-0.224591,versicolor
-0.799529,-0.399736,versicolor
-0.408516,-0.380519,versicolor
-0.714390,0.440438,versicolor
-0.210671,-0.135609,versicolor
-1.060846,0.115374,versicolor
-0.912014,-0.124914,versicolor
-1.144523,0.387876,versicolor
-0.761675,0.089541,versicolor
-0.118257,-0.036357,versicolor
-0.919540,0.249311,versicolor
-0.324985,-0.636676,versicolor
-0.950380,-0.506342,versicolor
-0.845959,0.374364,versicolor
-1.249226,0.372523,versicolor
-1.023321,-0.028753,versicolor
-0.143258,-0.789983,versicolor
-0.674545,0.213805,versicolor
-1.447158,0.204808,versicolor
-0.544399,-0.104007,versicolor
-0.368969,-0.612073,versicolor
-0.368310,-0.679344,versicolor
-0.332003,-0.736298,versicolor
-0.939182,-0.015878,versicolor
-1.273160,-0.200365,versicolor
-0.641577,-0.495559,versicolor
-0.488436,-0.209978,versicolor
-0.880816,0.189792,versicolor
-1.328551,-0.449095,versicolor
-0.125278,-0.655618,versicolor
-1.453260,-0.163538,versicolor
0.122630,-0.592387,versicolor
-0.315260,-0.384131,versicolor
-0.476605,0.061209,versicolor
-0.894079,-0.257793,versicolor
-1.072716,-0.548391,versicolor
0.103773,-0.439905,versicolor
0.148335,-0.700469,versicolor
-0.966589,0.290232,versicolor
-0.983295,0.351054,versicolor
-0.845248,0.185482,versicolor
-0.296378,-0.727798,versicolor
0.257956,-0.482214,versicolor
-0.064258,-0.023326,versicolor
-0.443619,-0.383826,versicolor
-0.267400,-0.714258,versicolor
0.446932,-0.322593,versicolor
-0.839155,-0.121063,versicolor
0.164373,-0.245303,versicolor
-1.177478,0.227215,versicolor
-0.925231,0.380179,versicolor
0.922838,-0.592515,versicolor
-0.846269,0.305319,versicolor
-0.191240,-0.355499,versicolor
-1.585256,0.394064,versicolor
-0.993487,-0.424278,versicolor
-1.038267,-0.096228,versicolor
-0.944529,-0.017692,versicolor
0.540154,-1.117614,versicolor
-0.212461,-0.799508,versicolor
-1.123550,0.456215,versicolor
-0.074217,-0.645214,versicolor
-0.779515,0.043572,versicolor
-0.820361,-0.608076,versicolor
-0.054150,-0.390085,versicolor
-0.521150,-0.183552,versicolor
-1.448796,-0.181104,versicolor
-0.583546,-0.145182,versicolor
-1.082980,-0.257827,versicolor
-0.003991,-0.266367,versicolor
-0.069895,-0.697345,versicolor
-1.619741,0.606271,versicolor
0.119734,-0.718912,versicolor
-0.507564,-0.765346,versicolor
-1.069372,-0.530009,versicolor
-0.014254,-0.461013,versicolor
0.372486,-0.882007,versicolor
-1.874269,0.381343,versicolor
-0.308186,-0.453062,versicolor
-0.991720,0.129900,versicolor
-1.050588,0.337338,versicolor
-1.141453,-0.406645,versicolor
-0.084050,-0.636103,versicolor
0.482641,-0.654205,versicolor
-0.943490,-0.170231,versicolor
-0.045897,-0.675158,versicolor
-1.206605,0.383661,versicolor
0.237295,-0.612764,versicolor
-0.071380,-0.864859,versicolor
-0.444925,-0.765446,versicolor
-0.260173,0.191943,versicolor
-0.024647,-0.367313,versicolor
-1.436919,0.570138,versicolor
-1.151446,0.604505,versicolor
-1.174825,-0.204952,versicolor
-0.730898,0.020297,versicolor
0.059477,-0.160964,versicolor
0.386142,-1.013286,versicolor
0.676177,-0.766447,versicolor
-1.231544,0.586189,versicolor
-0.997929,-0.743263,versicolor
-0.781251,0.640368,versicolor
-0.337139,-0.175518,versicolor
-0.926991,0.619229,versicolor
-0.478827,-0.192921,versicolor
-0.434729,-0.971207,versicolor
-1.577288,0.318293,versicolor
0.738089,-0.968428,versicolor
-0.817653,-0.318832,versicolor
0.116660,-0.636339,versicolor
-1.007696,0.423082,versicolor
-1.150661,-0.150350,versicolor
-0.958662,-0.113430,versicolor
-0.891655,-0.367949,versicolor
0.757284,-0.997876,versicolor
-0.122062,-0.329262,versicolor
-1.293431,0.327343,versicolor
-1.128409,0.134957,versicolor
-1.143784,0.206824,versicolor
-0.922318,-0.021097,versicolor
-1.144839,0.063678,versicolor
-0.941893,0.514143,versicolor
-1.054783,-0.324558,versicolor
-0.759882,0.195720,versicolor
-0.925733,0.361999,versicolor
0.665233,-0.570191,versicolor
-1.356165,-0.077944,versicolor
-1.253442,0.119687,versicolor
-0.020965,-0.444647,versicolor
-0.937869,0.117941,versicolor
-1.063553,-0.656321,versicolor
-0.112229,-0.533441,versicolor
-0.653389,-0.230802,versicolor
-1.133031,0.718269,versicolor
-1.503049,-0.285675,versicolor
-0.236587,-0.041100,versicolor
-0.998926,-0.232351,versicolor
-1.011481,0.152495,versicolor
0.089743,-0.483987,versicolor
-0.726996,-0.138228,versicolor
-0.108006,-0.394994,versicolor
-0.478781,-0.507938,versicolor
0.404450,-1.032732,versicolor
-0.264620,-0.543840,versicolor
0.193931,-0.503903,versicolor
-1.235837,0.311911,versicolor
-0.629530,-0.507666,versicolor
-0.712904,-0.297781,versicolor
-0.680118,-0.482395,versicolor
-0.152681,-0.261156,versicolor
-0.487716,-0.029005,versicolor
-0.214271,-0.344556,versicolor
-0.858633,-0.247906,versicolor
0.405027,-0.501012,versicolor
-1.015531,-0.426703,versicolor
-0.410304,-0.395256,versicolor
-0.733512,-0.432298,versicolor
-0.671124,-0.037630,versicolor
0.138930,-0.365991,versicolor
-1.052698,-0.402899,versicolor
-0.690656,0.016909,versicolor
-1.125579,0.315021,versicolor
-0.351624,-0.198751,versicolor
-0.805841,0.436938,versicolor
-0.825171,0.188936,versicolor
-0.564620,-0.382466,versicolor
-0.625692,0.084310,versicolor
-1.144766,0.008480,versicolor
-0.187746,-0.146441,versicolor
-0.984476,-0.243703,versicolor
-0.010938,-0.620202,versicolor
-0.975869,-0.170778,versicolor
0.868141,-0.786769,versicolor
0.037820,-0.278642,versicolor
-0.975205,0.150333,versicolor
-0.665830,-0.060355,versicolor
-0.950977,0.019135,versicolor
-1.689856,0.541212,versicolor
1.181042,-1.025431,versicolor
0.658038,-1.233036,versicolor
-0.936049,-0.480691,versicolor
-0.189169,-0.602929,versicolor
-0.526135,-0.019181,versicolor
-0.009706,-0.267697,versicolor
-0.312801,-0.302789,versicolor
-0.825202,-0.103337,versicolor
-0.088076,-0.611507,versicolor
-1.117195,-0.581873,versicolor
-0.142948,-0.371899,versicolor
-1.245374,0.417071,versicolor
-1.146539,-0.475402,versicolor
-0.386357,-0.580873,versicolor
-0.456762,-0.555462,versicolor
-0.755698,0.008249,versicolor
-1.196448,0.299039,versicolor
0.328146,-0.257568,versicolor
-0.399815,-0.694337,versicolor
-1.302095,0.516073,versicolor
-0.327698,-0.922377,versicolor
-0.961266,-0.204959,versicolor
-0.662116,0.005675,versicolor
-1.075001,-0.334160,versicolor
-0.381972,-0.713056,versicolor
-1.120567,0.164419,versicolor
-1.359268,0.196782,versicolor
-0.752693,0.036829,versicolor
-0.277970,-0.314225,versicolor
0.406158,-0.667812,versicolor
-0.322271,0.025363,versicolor
-0.652581,-0.085780,versicolor
-1.237038,0.638964,versicolor
-0.766644,-0.056347,versicolor
-0.049658,-0.236019,versicolor
-0.774930,-0.049935,versicolor
1.105931,-0.795268,versicolor
-0.906976,0.082321,versicolor
0.569864,-1.254959,versicolor
0.349184,-0.547621,versicolor
0.927405,-0.704302,versicolor
-0.343802,-0.746568,versicolor
-0.020630,-0.504950,versicolor
-0.508200,-0.050187,versicolor
-0.589828,-0.126923,versicolor
-0.100942,-0.718294,versicolor
-0.486307,-0.425830,versicolor
-0.216710,-0.651602,versicolor
-0.781633,0.061913,versicolor
-0.109021,-0.289647,versicolor
-0.316544,-0.535537,versicolor
0.330625,-0.733319,versicolor
-1.532044,0.777516,versicolor
0.058227,-0.223953,versicolor
-0.962778,0.073551,versicolor
-0.468018,-0.396986,versicolor
-0.721120,-0.194717,versicolor
-0.946334,0.438358,versicolor
-0.306176,0.010979,versicolor
0.540871,-0.312169,versicolor
-1.042954,0.026904,versicolor
0.056052,-0.359657,versicolor
-0.301991,-0.006841,versicolor
-0.311517,-0.279790,versicolor
-1.521970,0.871270,versicolor
-0.226370,-0.085281,versicolor
0.387862,-0.582267,versicolor
-0.857130,-0.477721,versicolor
-0.479202,-0.639898,versicolor
-0.152356,-0.529760,versicolor
-1.066743,0.408333,versicolor
-0.667889,-0.627144,versicolor
-0.523650,-0.150643,versicolor
-0.280788,-0.489936,versicolor
-1.242615,0.151444,versicolor
-0.174995,-0.537987,versicolor
-1.537522,0.525973,versicolor
-1.235077,0.679633,versicolor
-1.399882,0.309343,versicolor
1.226681,-0.855713,versicolor
-1.112674,0.490821,versicolor
-0.510894,0.007931,versicolor
0.213231,-0.665817,versicolor
-1.570565,-0.530036,versicolor
-0.309658,-0.552504,versicolor
-1.010332,0.402023,versicolor
-1.342688,0.487242,versicolor
0.058793,-0.194534,versicolor
-0.349728,-0.233042,versicolor
-0.039123,-0.323662,versicolor
-0.127391,0.136324,versicolor
-0.903378,0.019652,versicolor
-1.115141,0.466088,versicolor
0.023095,-0.471401,versicolor
-0.869269,-0.159145,versicolor
0.608420,-1.118588,versicolor
-1.416508,-0.630822,versicolor
-0.128460,-0.619092,versicolor
-0.133150,-0.320519,versicolor
0.813609,-0.825026,versicolor
-0.052835,-0.169888,versicolor
-0.337985,-0.633629,versicolor
-0.599247,0.206052,versicolor
-0.331836,-0.164600,versicolor
-1.427352,0.370058,versicolor
-0.067344,-0.546042,versicolor
-1.474385,0.337032,versicolor
-0.975795,-0.331816,versicolor
-0.132879,-0.756780,versicolor
-0.193287,-0.261009,versicolor
-0.229376,-0.888339,versicolor
-0.172228,-0.367007,versicolor
-0.940773,-0.396183,versicolor
-0.408854,-0.200581,versicolor
-0.885486,-0.006982,versicolor
0.377512,-0.420338,versicolor
-1.415018,0.166301,versicolor
-0.171603,-0.507108,versicolor
-0.777847,-0.630157,versicolor
-1.357790,0.361133,versicolor
-0.642816,-0.313061,versicolor
-0.764468,-0.244025,versicolor
-0.596407,-0.335092,versicolor
-1.142400,-0.065477,versicolor
-0.947266,0.411489,versicolor
-0.223323,-0.545317,versicolor
-0.456767,-0.685058,versicolor
-0.282999,-1.036746,versicolor
0.422130,-0.944531,versicolor
-0.097451,-0.636858,versicolor
-0.214971,-0.448354,versicolor
-0.548566,-0.180636,versicolor
-0.568181,0.280585,versicolor
-0.564043,-0.561413,versicolor
-0.303153,-0.329356,versicolor
-1.019209,0.749681,versicolor
-0.327419,-0.439762,versicolor
0.252690,-1.213308,versicolor
-0.367733,-0.601569,versicolor
0.776191,-1.112205,versicolor
-0.817923,-0.570671,versicolor
-1.006206,0.491886,versicolor
-0.705792,-0.518241,versicolor
-1.099491,-0.120249,versicolor
-0.872571,-0.224001,versicolor
-0.774391,-0.251918,versicolor
-0.296027,-0.043568,versicolor
-0.899450,0.090557,versicolor
-0.452429,-0.530731,versicolor
-1.265131,-0.497423,versicolor
-0.979121,-0.354395,versicolor
-0.881060,0.038794,versicolor
-1.067822,-0.013069,versicolor
-1.349578,0.695147,versicolor
-1.608110,0.620215,versicolor
-0.032377,-0.636831,versicolor
-0.657003,-0.205032,versicolor
-0.240028,-0.163872,versicolor
-0.577577,-0.074788,versicolor
-0.603404,-0.322143,versicolor
-0.271818,-0.261680,versicolor
-0.763755,0.000446,versicolor
-0.853394,-0.343213,versicolor
-0.775885,-0.286517,versicolor
